// Made in NPC Maker by BowieD
GUID 369b52dc42ad47998dab644efc96fd5f
Buying_88_Condition_0_ID 24202
Buying_88_Condition_0_Value 450
Buying_88_Condition_0_Allow_Unset 
Buying_88_Condition_0_Logic Less_Than

Buying_88_Condition_1_Type Flag_Short
Buying_88_Condition_1_ID 24202
Buying_88_Condition_1_Value 400
Buying_88_Condition_1_Allow_Unset 
Buying_88_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_88_Rewards 1
Buying_88_Reward_0_Type Flag_Short
Buying_88_Reward_0_ID 24202
Buying_88_Reward_0_Value 1
Buying_88_Reward_0_Modification Increment

Buying_89_ID 1435
Buying_89_Cost 15900
Buying_89_Conditions 2
Buying_89_Condition_0_Type Flag_Short
Buying_89_Condition_0_ID 24202
Buying_89_Condition_0_Value 500
Buying_89_Condition_0_Allow_Unset 
Buying_89_Condition_0_Logic Less_Than

Buying_89_Condition_1_Type Flag_Short
Buying_89_Condition_1_ID 24202
Buying_89_Condition_1_Value 450
Buying_89_Condition_1_Allow_Unset 
Buying_89_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_89_Rewards 1
Buying_89_Reward_0_Type Flag_Short
Buying_89_Reward_0_ID 24202
Buying_89_Reward_0_Value 1
Buying_89_Reward_0_Modification Increment

Buying_90_ID 1435
Buying_90_Cost 16000
Buying_90_Conditions 2
Buying_90_Condition_0_Type Flag_Short
Buying_90_Condition_0_ID 24202
Buying_90_Condition_0_Value 550
Buying_90_Condition_0_Allow_Unset 
Buying_90_Condition_0_Logic Less_Than

Buying_90_Condition_1_Type Flag_Short
Buying_90_Condition_1_ID 24202
Buying_90_Condition_1_Value 500
Buying_90_Condition_1_Allow_Unset 
Buying_90_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_90_Rewards 1
Buying_90_Reward_0_Type Flag_Short
Buying_90_Reward_0_ID 24202
Buying_90_Reward_0_Value 1
Buying_90_Reward_0_Modification Increment

Buying_91_ID 1435
Buying_91_Cost 16100
Buying_91_Conditions 2
Buying_91_Condition_0_Type Flag_Short
Buying_91_Condition_0_ID 24202
Buying_91_Condition_0_Value 600
Buying_91_Condition_0_Allow_Unset 
Buying_91_Condition_0_Logic Less_Than

Buying_91_Condition_1_Type Flag_Short
Buying_91_Condition_1_ID 24202
Buying_91_Condition_1_Value 550
Buying_91_Condition_1_Allow_Unset 
Buying_91_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_91_Rewards 1
Buying_91_Reward_0_Type Flag_Short
Buying_91_Reward_0_ID 24202
Buying_91_Reward_0_Value 1
Buying_91_Reward_0_Modification Increment

Buying_92_ID 1435
Buying_92_Cost 16200
Buying_92_Conditions 2
Buying_92_Condition_0_Type Flag_Short
Buying_92_Condition_0_ID 24202
Buying_92_Condition_0_Value 650
Buying_92_Condition_0_Allow_Unset 
Buying_92_Condition_0_Logic Less_Than

Buying_92_Condition_1_Type Flag_Short
Buying_92_Condition_1_ID 24202
Buying_92_Condition_1_Value 600
Buying_92_Condition_1_Allow_Unset 
Buying_92_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_92_Rewards 1
Buying_92_Reward_0_Type Flag_Short
Buying_92_Reward_0_ID 24202
Buying_92_Reward_0_Value 1
Buying_92_Reward_0_Modification Increment

Buying_93_ID 1435
Buying_93_Cost 16300
Buying_93_Conditions 2
Buying_93_Condition_0_Type Flag_Short
Buying_93_Condition_0_ID 24202
Buying_93_Condition_0_Value 700
Buying_93_Condition_0_Allow_Unset 
Buying_93_Condition_0_Logic Less_Than

Buying_93_Condition_1_Type Flag_Short
Buying_93_Condition_1_ID 24202
Buying_93_Condition_1_Value 650
Buying_93_Condition_1_Allow_Unset 
Buying_93_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_93_Rewards 1
Buying_93_Reward_0_Type Flag_Short
Buying_93_Reward_0_ID 24202
Buying_93_Reward_0_Value 1
Buying_93_Reward_0_Modification Increment

Buying_94_ID 1435
Buying_94_Cost 16400
Buying_94_Conditions 2
Buying_94_Condition_0_Type Flag_Short
Buying_94_Condition_0_ID 24202
Buying_94_Condition_0_Value 750
Buying_94_Condition_0_Allow_Unset 
Buying_94_Condition_0_Logic Less_Than

Buying_94_Condition_1_Type Flag_Short
Buying_94_Condition_1_ID 24202
Buying_94_Condition_1_Value 700
Buying_94_Condition_1_Allow_Unset 
Buying_94_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_94_Rewards 1
Buying_94_Reward_0_Type Flag_Short
Buying_94_Reward_0_ID 24202
Buying_94_Reward_0_Value 1
Buying_94_Reward_0_Modification Increment

Buying_95_ID 1435
Buying_95_Cost 16500
Buying_95_Conditions 1
Buying_95_Condition_0_Type Flag_Short
Buying_95_Condition_0_ID 24202
Buying_95_Condition_0_Value 750
Buying_95_Condition_0_Allow_Unset 
Buying_95_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_96_ID 43108
Buying_96_Cost 165
Buying_96_Conditions 2
Buying_96_Condition_0_Type Flag_Short
Buying_96_Condition_0_ID 24202
Buying_96_Condition_0_Value 50
Buying_96_Condition_0_Allow_Unset 
Buying_96_Condition_0_Logic Less_Than

Buying_96_Condition_1_Type Quest
Buying_96_Condition_1_ID 24203
Buying_96_Condition_1_Status Completed
Buying_96_Condition_1_Logic Equal
Buying_96_Condition_1_Ignore_NPC True

Buying_96_Rewards 1
Buying_96_Reward_0_Type Flag_Short
Buying_96_Reward_0_ID 24202
Buying_96_Reward_0_Value 1
Buying_96_Reward_0_Modification Increment

Buying_97_ID 43108
Buying_97_Cost 166
Buying_97_Conditions 3
Buying_97_Condition_0_Type Flag_Short
Buying_97_Condition_0_ID 24202
Buying_97_Condition_0_Value 100
Buying_97_Condition_0_Allow_Unset 
Buying_97_Condition_0_Logic Less_Than

Buying_97_Condition_1_Type Flag_Short
Buying_97_Condition_1_ID 24202
Buying_97_Condition_1_Value 50
Buying_97_Condition_1_Allow_Unset 
Buying_97_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_97_Condition_2_Type Quest
Buying_97_Condition_2_ID 24203
Buying_97_Condition_2_Status Completed
Buying_97_Condition_2_Logic Equal
Buying_97_Condition_2_Ignore_NPC True

Buying_97_Rewards 1
Buying_97_Reward_0_Type Flag_Short
Buying_97_Reward_0_ID 24202
Buying_97_Reward_0_Value 1
Buying_97_Reward_0_Modification Increment

Buying_98_ID 43108
Buying_98_Cost 167
Buying_98_Conditions 3
Buying_98_Condition_0_Type Flag_Short
Buying_98_Condition_0_ID 24202
Buying_98_Condition_0_Value 150
Buying_98_Condition_0_Allow_Unset 
Buying_98_Condition_0_Logic Less_Than

Buying_98_Condition_1_Type Flag_Short
Buying_98_Condition_1_ID 24202
Buying_98_Condition_1_Value 100
Buying_98_Condition_1_Allow_Unset 
Buying_98_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_98_Condition_2_Type Quest
Buying_98_Condition_2_ID 24203
Buying_98_Condition_2_Status Completed
Buying_98_Condition_2_Logic Equal
Buying_98_Condition_2_Ignore_NPC True

Buying_98_Rewards 1
Buying_98_Reward_0_Type Flag_Short
Buying_98_Reward_0_ID 24202
Buying_98_Reward_0_Value 1
Buying_98_Reward_0_Modification Increment

Buying_99_ID 43108
Buying_99_Cost 168
Buying_99_Conditions 3
Buying_99_Condition_0_Type Flag_Short
Buying_99_Condition_0_ID 24202
Buying_99_Condition_0_Value 200
Buying_99_Condition_0_Allow_Unset 
Buying_99_Condition_0_Logic Less_Than

Buying_99_Condition_1_Type Flag_Short
Buying_99_Condition_1_ID 24202
Buying_99_Condition_1_Value 150
Buying_99_Condition_1_Allow_Unset 
Buying_99_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_99_Condition_2_Type Quest
Buying_99_Condition_2_ID 24203
Buying_99_Condition_2_Status Completed
Buying_99_Condition_2_Logic Equal
Buying_99_Condition_2_Ignore_NPC True

Buying_99_Rewards 1
Buying_99_Reward_0_Type Flag_Short
Buying_99_Reward_0_ID 24202
Buying_99_Reward_0_Value 1
Buying_99_Reward_0_Modification Increment

Buying_100_ID 43108
Buying_100_Cost 169
Buying_100_Conditions 3
Buying_100_Condition_0_Type Flag_Short
Buying_100_Condition_0_ID 24202
Buying_100_Condition_0_Value 250
Buying_100_Condition_0_Allow_Unset 
Buying_100_Condition_0_Logic Less_Than

Buying_100_Condition_1_Type Flag_Short
Buying_100_Condition_1_ID 24202
Buying_100_Condition_1_Value 200
Buying_100_Condition_1_Allow_Unset 
Buying_100_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_100_Condition_2_Type Quest
Buying_100_Condition_2_ID 24203
Buying_100_Condition_2_Status Completed
Buying_100_Condition_2_Logic Equal
Buying_100_Condition_2_Ignore_NPC True

Buying_100_Rewards 1
Buying_100_Reward_0_Type Flag_Short
Buying_100_Reward_0_ID 24202
Buying_100_Reward_0_Value 1
Buying_100_Reward_0_Modification Increment

Buying_101_ID 43108
Buying_101_Cost 170
Buying_101_Conditions 3
Buying_101_Condition_0_Type Flag_Short
Buying_101_Condition_0_ID 24202
Buying_101_Condition_0_Value 300
Buying_101_Condition_0_Allow_Unset 
Buying_101_Condition_0_Logic Less_Than

Buying_101_Condition_1_Type Flag_Short
Buying_101_Condition_1_ID 24202
Buying_101_Condition_1_Value 250
Buying_101_Condition_1_Allow_Unset 
Buying_101_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_101_Condition_2_Type Quest
Buying_101_Condition_2_ID 24203
Buying_101_Condition_2_Status Completed
Buying_101_Condition_2_Logic Equal
Buying_101_Condition_2_Ignore_NPC True

Buying_101_Rewards 1
Buying_101_Reward_0_Type Flag_Short
Buying_101_Reward_0_ID 24202
Buying_101_Reward_0_Value 1
Buying_101_Reward_0_Modification Increment

Buying_102_ID 43108
Buying_102_Cost 171
Buying_102_Conditions 3
Buying_102_Condition_0_Type Flag_Short
Buying_102_Condition_0_ID 24202
Buying_102_Condition_0_Value 350
Buying_102_Condition_0_Allow_Unset 
Buying_102_Condition_0_Logic Less_Than

Buying_102_Condition_1_Type Flag_Short
Buying_102_Condition_1_ID 24202
Buying_102_Condition_1_Value 300
Buying_102_Condition_1_Allow_Unset 
Buying_102_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_102_Condition_2_Type Quest
Buying_102_Condition_2_ID 24203
Buying_102_Condition_2_Status Completed
Buying_102_Condition_2_Logic Equal
Buying_102_Condition_2_Ignore_NPC True

Buying_102_Rewards 1
Buying_102_Reward_0_Type Flag_Short
Buying_102_Reward_0_ID 24202
Buying_102_Reward_0_Value 1
Buying_102_Reward_0_Modification Increment

Buying_103_ID 43108
Buying_103_Cost 172
Buying_103_Conditions 3
Buying_103_Condition_0_Type Flag_Short
Buying_103_Condition_0_ID 24202
Buying_103_Condition_0_Value 400
Buying_103_Condition_0_Allow_Unset 
Buying_103_Condition_0_Logic Less_Than

Buying_103_Condition_1_Type Flag_Short
Buying_103_Condition_1_ID 24202
Buying_103_Condition_1_Value 350
Buying_103_Condition_1_Allow_Unset 
Buying_103_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_103_Condition_2_Type Quest
Buying_103_Condition_2_ID 24203
Buying_103_Condition_2_Status Completed
Buying_103_Condition_2_Logic Equal
Buying_103_Condition_2_Ignore_NPC True

Buying_103_Rewards 1
Buying_103_Reward_0_Type Flag_Short
Buying_103_Reward_0_ID 24202
Buying_103_Reward_0_Value 1
Buying_103_Reward_0_Modification Increment

Buying_104_ID 43108
Buying_104_Cost 173
Buying_104_Conditions 3
Buying_104_Condition_0_Type Flag_Short
Buying_104_Condition_0_ID 24202
Buying_104_Condition_0_Value 450
Buying_104_Condition_0_Allow_Unset 
Buying_104_Condition_0_Logic Less_Than

Buying_104_Condition_1_Type Flag_Short
Buying_104_Condition_1_ID 24202
Buying_104_Condition_1_Value 400
Buying_104_Condition_1_Allow_Unset 
Buying_104_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_104_Condition_2_Type Quest
Buying_104_Condition_2_ID 24203
Buying_104_Condition_2_Status Completed
Buying_104_Condition_2_Logic Equal
Buying_104_Condition_2_Ignore_NPC True

Buying_104_Rewards 1
Buying_104_Reward_0_Type Flag_Short
Buying_104_Reward_0_ID 24202
Buying_104_Reward_0_Value 1
Buying_104_Reward_0_Modification Increment

Buying_105_ID 43108
Buying_105_Cost 174
Buying_105_Conditions 3
Buying_105_Condition_0_Type Flag_Short
Buying_105_Condition_0_ID 24202
Buying_105_Condition_0_Value 500
Buying_105_Condition_0_Allow_Unset 
Buying_105_Condition_0_Logic Less_Than

Buying_105_Condition_1_Type Flag_Short
Buying_105_Condition_1_ID 24202
Buying_105_Condition_1_Value 450
Buying_105_Condition_1_Allow_Unset 
Buying_105_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_105_Condition_2_Type Quest
Buying_105_Condition_2_ID 24203
Buying_105_Condition_2_Status Completed
Buying_105_Condition_2_Logic Equal
Buying_105_Condition_2_Ignore_NPC True

Buying_105_Rewards 1
Buying_105_Reward_0_Type Flag_Short
Buying_105_Reward_0_ID 24202
Buying_105_Reward_0_Value 1
Buying_105_Reward_0_Modification Increment

Buying_106_ID 43108
Buying_106_Cost 175
Buying_106_Conditions 3
Buying_106_Condition_0_Type Flag_Short
Buying_106_Condition_0_ID 24202
Buying_106_Condition_0_Value 550
Buying_106_Condition_0_Allow_Unset 
Buying_106_Condition_0_Logic Less_Than

Buying_106_Condition_1_Type Flag_Short
Buying_106_Condition_1_ID 24202
Buying_106_Condition_1_Value 500
Buying_106_Condition_1_Allow_Unset 
Buying_106_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_106_Condition_2_Type Quest
Buying_106_Condition_2_ID 24203
Buying_106_Condition_2_Status Completed
Buying_106_Condition_2_Logic Equal
Buying_106_Condition_2_Ignore_NPC True

Buying_106_Rewards 1
Buying_106_Reward_0_Type Flag_Short
Buying_106_Reward_0_ID 24202
Buying_106_Reward_0_Value 1
Buying_106_Reward_0_Modification Increment

Buying_107_ID 43108
Buying_107_Cost 176
Buying_107_Conditions 3
Buying_107_Condition_0_Type Flag_Short
Buying_107_Condition_0_ID 24202
Buying_107_Condition_0_Value 600
Buying_107_Condition_0_Allow_Unset 
Buying_107_Condition_0_Logic Less_Than

Buying_107_Condition_1_Type Flag_Short
Buying_107_Condition_1_ID 24202
Buying_107_Condition_1_Value 550
Buying_107_Condition_1_Allow_Unset 
Buying_107_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_107_Condition_2_Type Quest
Buying_107_Condition_2_ID 24203
Buying_107_Condition_2_Status Completed
Buying_107_Condition_2_Logic Equal
Buying_107_Condition_2_Ignore_NPC True

Buying_107_Rewards 1
Buying_107_Reward_0_Type Flag_Short
Buying_107_Reward_0_ID 24202
Buying_107_Reward_0_Value 1
Buying_107_Reward_0_Modification Increment

Buying_108_ID 43108
Buying_108_Cost 177
Buying_108_Conditions 3
Buying_108_Condition_0_Type Flag_Short
Buying_108_Condition_0_ID 24202
Buying_108_Condition_0_Value 650
Buying_108_Condition_0_Allow_Unset 
Buying_108_Condition_0_Logic Less_Than

Buying_108_Condition_1_Type Flag_Short
Buying_108_Condition_1_ID 24202
Buying_108_Condition_1_Value 600
Buying_108_Condition_1_Allow_Unset 
Buying_108_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_108_Condition_2_Type Quest
Buying_108_Condition_2_ID 24203
Buying_108_Condition_2_Status Completed
Buying_108_Condition_2_Logic Equal
Buying_108_Condition_2_Ignore_NPC True

Buying_108_Rewards 1
Buying_108_Reward_0_Type Flag_Short
Buying_108_Reward_0_ID 24202
Buying_108_Reward_0_Value 1
Buying_108_Reward_0_Modification Increment

Buying_109_ID 43108
Buying_109_Cost 178
Buying_109_Conditions 3
Buying_109_Condition_0_Type Flag_Short
Buying_109_Condition_0_ID 24202
Buying_109_Condition_0_Value 700
Buying_109_Condition_0_Allow_Unset 
Buying_109_Condition_0_Logic Less_Than

Buying_109_Condition_1_Type Flag_Short
Buying_109_Condition_1_ID 24202
Buying_109_Condition_1_Value 650
Buying_109_Condition_1_Allow_Unset 
Buying_109_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_109_Condition_2_Type Quest
Buying_109_Condition_2_ID 24203
Buying_109_Condition_2_Status Completed
Buying_109_Condition_2_Logic Equal
Buying_109_Condition_2_Ignore_NPC True

Buying_109_Rewards 1
Buying_109_Reward_0_Type Flag_Short
Buying_109_Reward_0_ID 24202
Buying_109_Reward_0_Value 1
Buying_109_Reward_0_Modification Increment

Buying_110_ID 43108
Buying_110_Cost 179
Buying_110_Conditions 3
Buying_110_Condition_0_Type Flag_Short
Buying_110_Condition_0_ID 24202
Buying_110_Condition_0_Value 750
Buying_110_Condition_0_Allow_Unset 
Buying_110_Condition_0_Logic Less_Than

Buying_110_Condition_1_Type Flag_Short
Buying_110_Condition_1_ID 24202
Buying_110_Condition_1_Value 700
Buying_110_Condition_1_Allow_Unset 
Buying_110_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_110_Condition_2_Type Quest
Buying_110_Condition_2_ID 24203
Buying_110_Condition_2_Status Completed
Buying_110_Condition_2_Logic Equal
Buying_110_Condition_2_Ignore_NPC True

Buying_110_Rewards 1
Buying_110_Reward_0_Type Flag_Short
Buying_110_Reward_0_ID 24202
Buying_110_Reward_0_Value 1
Buying_110_Reward_0_Modification Increment

Buying_111_ID 43108
Buying_111_Cost 180
Buying_111_Conditions 2
Buying_111_Condition_0_Type Flag_Short
Buying_111_Condition_0_ID 24202
Buying_111_Condition_0_Value 750
Buying_111_Condition_0_Allow_Unset 
Buying_111_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_111_Condition_1_Type Quest
Buying_111_Condition_1_ID 24203
Buying_111_Condition_1_Status Completed
Buying_111_Condition_1_Logic Equal
Buying_111_Condition_1_Ignore_NPC True

Buying_112_ID 43133
Buying_112_Cost 165
Buying_112_Conditions 2
Buying_112_Condition_0_Type Flag_Short
Buying_112_Condition_0_ID 24202
Buying_112_Condition_0_Value 50
Buying_112_Condition_0_Allow_Unset 
Buying_112_Condition_0_Logic Less_Than

Buying_112_Condition_1_Type Quest
Buying_112_Condition_1_ID 24203
Buying_112_Condition_1_Status Completed
Buying_112_Condition_1_Logic Equal
Buying_112_Condition_1_Ignore_NPC True

Buying_112_Rewards 1
Buying_112_Reward_0_Type Flag_Short
Buying_112_Reward_0_ID 24202
Buying_112_Reward_0_Value 1
Buying_112_Reward_0_Modification Increment

Buying_113_ID 43133
Buying_113_Cost 166
Buying_113_Conditions 3
Buying_113_Condition_0_Type Flag_Short
Buying_113_Condition_0_ID 24202
Buying_113_Condition_0_Value 100
Buying_113_Condition_0_Allow_Unset 
Buying_113_Condition_0_Logic Less_Than

Buying_113_Condition_1_Type Flag_Short
Buying_113_Condition_1_ID 24202
Buying_113_Condition_1_Value 50
Buying_113_Condition_1_Allow_Unset 
Buying_113_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_113_Condition_2_Type Quest
Buying_113_Condition_2_ID 24203
Buying_113_Condition_2_Status Completed
Buying_113_Condition_2_Logic Equal
Buying_113_Condition_2_Ignore_NPC True

Buying_113_Rewards 1
Buying_113_Reward_0_Type Flag_Short
Buying_113_Reward_0_ID 24202
Buying_113_Reward_0_Value 1
Buying_113_Reward_0_Modification Increment

Buying_114_ID 43133
Buying_114_Cost 167
Buying_114_Conditions 3
Buying_114_Condition_0_Type Flag_Short
Buying_114_Condition_0_ID 24202
Buying_114_Condition_0_Value 150
Buying_114_Condition_0_Allow_Unset 
Buying_114_Condition_0_Logic Less_Than

Buying_114_Condition_1_Type Flag_Short
Buying_114_Condition_1_ID 24202
Buying_114_Condition_1_Value 100
Buying_114_Condition_1_Allow_Unset 
Buying_114_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_114_Condition_2_Type Quest
Buying_114_Condition_2_ID 24203
Buying_114_Condition_2_Status Completed
Buying_114_Condition_2_Logic Equal
Buying_114_Condition_2_Ignore_NPC True

Buying_114_Rewards 1
Buying_114_Reward_0_Type Flag_Short
Buying_114_Reward_0_ID 24202
Buying_114_Reward_0_Value 1
Buying_114_Reward_0_Modification Increment

Buying_115_ID 43133
Buying_115_Cost 168
Buying_115_Conditions 3
Buying_115_Condition_0_Type Flag_Short
Buying_115_Condition_0_ID 24202
Buying_115_Condition_0_Value 200
Buying_115_Condition_0_Allow_Unset 
Buying_115_Condition_0_Logic Less_Than

Buying_115_Condition_1_Type Flag_Short
Buying_115_Condition_1_ID 24202
Buying_115_Condition_1_Value 150
Buying_115_Condition_1_Allow_Unset 
Buying_115_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_115_Condition_2_Type Quest
Buying_115_Condition_2_ID 24203
Buying_115_Condition_2_Status Completed
Buying_115_Condition_2_Logic Equal
Buying_115_Condition_2_Ignore_NPC True

Buying_115_Rewards 1
Buying_115_Reward_0_Type Flag_Short
Buying_115_Reward_0_ID 24202
Buying_115_Reward_0_Value 1
Buying_115_Reward_0_Modification Increment

Buying_116_ID 43133
Buying_116_Cost 169
Buying_116_Conditions 3
Buying_116_Condition_0_Type Flag_Short
Buying_116_Condition_0_ID 24202
Buying_116_Condition_0_Value 250
Buying_116_Condition_0_Allow_Unset 
Buying_116_Condition_0_Logic Less_Than

Buying_116_Condition_1_Type Flag_Short
Buying_116_Condition_1_ID 24202
Buying_116_Condition_1_Value 200
Buying_116_Condition_1_Allow_Unset 
Buying_116_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_116_Condition_2_Type Quest
Buying_116_Condition_2_ID 24203
Buying_116_Condition_2_Status Completed
Buying_116_Condition_2_Logic Equal
Buying_116_Condition_2_Ignore_NPC True

Buying_116_Rewards 1
Buying_116_Reward_0_Type Flag_Short
Buying_116_Reward_0_ID 24202
Buying_116_Reward_0_Value 1
Buying_116_Reward_0_Modification Increment

Buying_117_ID 43133
Buying_117_Cost 170
Buying_117_Conditions 3
Buying_117_Condition_0_Type Flag_Short
Buying_117_Condition_0_ID 24202
Buying_117_Condition_0_Value 300
Buying_117_Condition_0_Allow_Unset 
Buying_117_Condition_0_Logic Less_Than

Buying_117_Condition_1_Type Flag_Short
Buying_117_Condition_1_ID 24202
Buying_117_Condition_1_Value 250
Buying_117_Condition_1_Allow_Unset 
Buying_117_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_117_Condition_2_Type Quest
Buying_117_Condition_2_ID 24203
Buying_117_Condition_2_Status Completed
Buying_117_Condition_2_Logic Equal
Buying_117_Condition_2_Ignore_NPC True

Buying_117_Rewards 1
Buying_117_Reward_0_Type Flag_Short
Buying_117_Reward_0_ID 24202
Buying_117_Reward_0_Value 1
Buying_117_Reward_0_Modification Increment

Buying_118_ID 43133
Buying_118_Cost 171
Buying_118_Conditions 3
Buying_118_Condition_0_Type Flag_Short
Buying_118_Condition_0_ID 24202
Buying_118_Condition_0_Value 350
Buying_118_Condition_0_Allow_Unset 
Buying_118_Condition_0_Logic Less_Than

Buying_118_Condition_1_Type Flag_Short
Buying_118_Condition_1_ID 24202
Buying_118_Condition_1_Value 300
Buying_118_Condition_1_Allow_Unset 
Buying_118_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_118_Condition_2_Type Quest
Buying_118_Condition_2_ID 24203
Buying_118_Condition_2_Status Completed
Buying_118_Condition_2_Logic Equal
Buying_118_Condition_2_Ignore_NPC True

Buying_118_Rewards 1
Buying_118_Reward_0_Type Flag_Short
Buying_118_Reward_0_ID 24202
Buying_118_Reward_0_Value 1
Buying_118_Reward_0_Modification Increment

Buying_119_ID 43133
Buying_119_Cost 172
Buying_119_Conditions 3
Buying_119_Condition_0_Type Flag_Short
Buying_119_Condition_0_ID 24202
Buying_119_Condition_0_Value 400
Buying_119_Condition_0_Allow_Unset 
Buying_119_Condition_0_Logic Less_Than

Buying_119_Condition_1_Type Flag_Short
Buying_119_Condition_1_ID 24202
Buying_119_Condition_1_Value 350
Buying_119_Condition_1_Allow_Unset 
Buying_119_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_119_Condition_2_Type Quest
Buying_119_Condition_2_ID 24203
Buying_119_Condition_2_Status Completed
Buying_119_Condition_2_Logic Equal
Buying_119_Condition_2_Ignore_NPC True

Buying_119_Rewards 1
Buying_119_Reward_0_Type Flag_Short
Buying_119_Reward_0_ID 24202
Buying_119_Reward_0_Value 1
Buying_119_Reward_0_Modification Increment

Buying_120_ID 43133
Buying_120_Cost 173
Buying_120_Conditions 3
Buying_120_Condition_0_Type Flag_Short
Buying_120_Condition_0_ID 24202
Buying_120_Condition_0_Value 450
Buying_120_Condition_0_Allow_Unset 
Buying_120_Condition_0_Logic Less_Than

Buying_120_Condition_1_Type Flag_Short
Buying_120_Condition_1_ID 24202
Buying_120_Condition_1_Value 400
Buying_120_Condition_1_Allow_Unset 
Buying_120_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_120_Condition_2_Type Quest
Buying_120_Condition_2_ID 24203
Buying_120_Condition_2_Status Completed
Buying_120_Condition_2_Logic Equal
Buying_120_Condition_2_Ignore_NPC True

Buying_120_Rewards 1
Buying_120_Reward_0_Type Flag_Short
Buying_120_Reward_0_ID 24202
Buying_120_Reward_0_Value 1
Buying_120_Reward_0_Modification Increment

Buying_121_ID 43133
Buying_121_Cost 174
Buying_121_Conditions 3
Buying_121_Condition_0_Type Flag_Short
Buying_121_Condition_0_ID 24202
Buying_121_Condition_0_Value 500
Buying_121_Condition_0_Allow_Unset 
Buying_121_Condition_0_Logic Less_Than

Buying_121_Condition_1_Type Flag_Short
Buying_121_Condition_1_ID 24202
Buying_121_Condition_1_Value 450
Buying_121_Condition_1_Allow_Unset 
Buying_121_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_121_Condition_2_Type Quest
Buying_121_Condition_2_ID 24203
Buying_121_Condition_2_Status Completed
Buying_121_Condition_2_Logic Equal
Buying_121_Condition_2_Ignore_NPC True

Buying_121_Rewards 1
Buying_121_Reward_0_Type Flag_Short
Buying_121_Reward_0_ID 24202
Buying_121_Reward_0_Value 1
Buying_121_Reward_0_Modification Increment

Buying_122_ID 43133
Buying_122_Cost 175
Buying_122_Conditions 3
Buying_122_Condition_0_Type Flag_Short
Buying_122_Condition_0_ID 24202
Buying_122_Condition_0_Value 550
Buying_122_Condition_0_Allow_Unset 
Buying_122_Condition_0_Logic Less_Than

Buying_122_Condition_1_Type Flag_Short
Buying_122_Condition_1_ID 24202
Buying_122_Condition_1_Value 500
Buying_122_Condition_1_Allow_Unset 
Buying_122_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_122_Condition_2_Type Quest
Buying_122_Condition_2_ID 24203
Buying_122_Condition_2_Status Completed
Buying_122_Condition_2_Logic Equal
Buying_122_Condition_2_Ignore_NPC True

Buying_122_Rewards 1
Buying_122_Reward_0_Type Flag_Short
Buying_122_Reward_0_ID 24202
Buying_122_Reward_0_Value 1
Buying_122_Reward_0_Modification Increment

Buying_123_ID 43133
Buying_123_Cost 176
Buying_123_Conditions 3
Buying_123_Condition_0_Type Flag_Short
Buying_123_Condition_0_ID 24202
Buying_123_Condition_0_Value 600
Buying_123_Condition_0_Allow_Unset 
Buying_123_Condition_0_Logic Less_Than

Buying_123_Condition_1_Type Flag_Short
Buying_123_Condition_1_ID 24202
Buying_123_Condition_1_Value 550
Buying_123_Condition_1_Allow_Unset 
Buying_123_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_123_Condition_2_Type Quest
Buying_123_Condition_2_ID 24203
Buying_123_Condition_2_Status Completed
Buying_123_Condition_2_Logic Equal
